,,Duplicates,enginebStandard,enginebEntity,enginebAttribute,relationshipTo,DataType,MS_DataType,Description
PaymentsPaymentLineTaxInformation,TaxDeclarationPeriod,taxDeclarationPeriod,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineTaxInformationTaxDeclarationPeriod,,DATE,Date,The identification of the declaration/return in which the taxamount is reported to the Revenue body.
PaymentsPayment,BatchID,batchId,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentBatchID,,TEXT,String,Systems generated batch ID
PaymentsPaymentLineTaxInformation,TaxExemptionReason,taxExemptionReason,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineTaxInformationTaxExemptionReason,,TEXT,String,Tax exemption or reduction reason or rationale
PaymentsPayment,Description,description,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDescription,,TEXT,String,Description of the payment
PaymentsPaymentLineTaxInformation,TaxPercentage,taxPercentage,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineTaxInformationTaxPercentage,,NUMERIC,Decimal,Tax percentage
Payments,NumberOfEntries,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsNumberOfEntries,,TEXT,String,Number of entries
PaymentsPaymentLineTaxInformation,TaxType,taxType,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineTaxInformationTaxType,,TEXT,String,Tax type for look-up in tables
PaymentsPaymentSettlement,PaymentMechanism,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentSettlementPaymentMechanism,,TEXT,String,Payment mechanism
PaymentsPayment,PaymentMethod,paymentMethod,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentPaymentMethod,,TEXT,String,"Cheque, Giro, Bank, cash etc"
PaymentsPayment,PaymentRefNo,paymentRefNo,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentPaymentRefNo,,TEXT,String,Unique reference number for payment
PaymentsPayment,Period,period,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentPeriod,,TEXT,String,Accounting Period
PaymentsPayment,PeriodYear,periodYear,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentPeriodYear,,TEXT,String,The year of the accounting period
PaymentsPaymentDocumentTotalsSettlement,SettlementAmount,settlementAmount,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsSettlementSettlementAmount,,NUMERIC,Decimal,Settlement amount
PaymentsPaymentDocumentTotalsSettlement,SettlementDate,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsSettlementSettlementDate,,DATE,Date,Date settled
PaymentsPaymentSettlement,SettlementDate,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentSettlementSettlementDate,,DATE,Date,Date settled
PaymentsPaymentDocumentTotalsSettlement,SettlementDiscount,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsSettlementSettlementDiscount,,NUMERIC,Decimal,Description Settlement / Other Discount
PaymentsPaymentSettlement,SettlementDiscount,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentSettlementSettlementDiscount,,NUMERIC,Decimal,Description Settlement / Other Discount
PaymentsPaymentLine,DebitCreditIndicator,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineDebitCreditIndicator,,TEXT,String,Indicates whether the amounts on line-level are debit or credit amounts. Entry must correspond to entry reflected in General Ledger Entry. Signing of lineamounts is relative to this indicator. E.g a return can lead to a negative amount.
PaymentsPayment,SourceID,sourceId,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentSourceID,,TEXT,String,Details of person or application that entered the transaction
PaymentsPaymentLine,CustomerID,customerId,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineCustomerID,,TEXT,String,Unique code for the customer 
PaymentsPayment,SystemID,systemId,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentSystemID,,TEXT,String,Unique number created by the system for the document
PaymentsPaymentLine,AccountID,accountId,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineAccountID,,TEXT,String,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the account. It could include cost centres such as company, division, region, group and branch/department."
PaymentsPaymentLine,Description,description,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineDescription,,TEXT,String,Description of the payment line
PaymentsPaymentDocumentTotalsTaxInformationTotals,TaxCode,taxCode,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxCode,,TEXT,String,Tax Code for lookup in tables
PaymentsPaymentLine,LineNumber,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineLineNumber,,TEXT,String,Number of the paymentline
PaymentsPaymentDocumentTotalsTaxInformationTotals,TaxDeclarationPeriod,taxDeclarationPeriod,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxDeclarationPeriod,,DATE,Date,The identification of the declaration/return in which the taxamount is reported to the Revenue body.
PaymentsPaymentLine,Other…,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
PaymentsPaymentDocumentTotalsTaxInformationTotals,TaxExemptionReason,taxExemptionReason,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxExemptionReason,,TEXT,String,Tax exemption or reduction reason or rasionale
PaymentsPaymentLine,SourceDocumentID,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineSourceDocumentID,,TEXT,String,The source document to which the line relates
PaymentsPaymentDocumentTotalsTaxInformationTotals,TaxPercentage,taxPercentage,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxPercentage,,NUMERIC,Decimal,Tax percentage
PaymentsPaymentLine,SupplierID,supplierId,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineSupplierID,,TEXT,String,Unique code for the supplier
PaymentsPaymentLine,TaxPointDate,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineTaxPointDate,,DATE,Date,Tax Point date where recorded on invoice or if not recorded then use the invoice date.
PaymentsPaymentDocumentTotalsTaxInformationTotals,TaxType,taxType,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxType,,TEXT,String,Tax type for look-up in tables
PaymentsPayment,TransactionDate,transactionDate,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentTransactionDate,,DATE,Date,Document date 
PaymentsPayment,TransactionID,transactionId,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentTransactionID,,TEXT,String,"Cross-reference to GL pposting in the journal. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department."
PurchaseInvoicesInvoiceLine ShipToAddress,AdditionalAddressDetail,additionalAddressDetail,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShipToAddressAdditionalAddressDetail,,TEXT,String,Address lines
SalesInvoicesInvoiceLine ShipToAddress,AdditionalAddressDetail,additionalAddressDetail,AR,SourceDocuments,SalesInvoicesInvoiceLine ShipToAddressAdditionalAddressDetail,,TEXT,String,Address lines
PurchaseInvoicesInvoiceLine ShipToAddress,AddressType,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShipToAddressAddressType,,TEXT,String,"Field to differentiate between multiple addresses. To indicate the type of address. Choose from the predefined enumeration. (ex; StreetAddress, PostalAddress, BillingAddress)"
PurchaseInvoicesInvoiceDocumentTotals,NetTotal,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceDocumentTotalsNetTotal,,NUMERIC,Decimal,Control total sales value excluding tax and shipping costs
PurchaseInvoicesInvoiceLineTaxInformation,TaxType,taxType,AP,SourceDocuments,PurchaseInvoicesInvoiceLineTaxInformationTaxType,,TEXT,String,Tax type for look-up in tables
PurchaseInvoicesInvoice,TransactionID,transactionId,AP,SourceDocuments,PurchaseInvoicesInvoiceTransactionID,,TEXT,String,"Cross-reference to GL pposting in the journal. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department."
PurchaseInvoicesInvoice,BatchID,batchId,AP,SourceDocuments,PurchaseInvoicesInvoiceBatchID,,TEXT,String,Systems generated batch ID.
PurchaseInvoicesInvoiceLine Delivery,FromDate,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine DeliveryFromDate,,DATE,Date,StartDate of the deliveries
PurchaseInvoicesInvoiceLine DeliveryDeliveryPeriod,ToDate,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine DeliveryDeliveryPeriodToDate,,DATE,Date,Endate of the deliveries
PurchaseInvoicesInvoiceShipFrom,UCR,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceShipFromUCR,,TEXT,String,Unique consignment reference number
PurchaseInvoicesInvoiceCustomerInfo,CustomerID,customerId,AP,SourceDocuments,PurchaseInvoicesInvoiceCustomerInfoCustomerID,,TEXT,String,Unique code for the customer 
PurchaseInvoicesInvoiceShipTo,UCR,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceShipToUCR,,TEXT,String,Unique consignment reference number
PurchaseInvoicesInvoiceLine,InvoiceUOM,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLineInvoiceUOM,,NUMERIC,Decimal,Quantity unit of measure e.g. pack of 12
PurchaseInvoicesInvoiceLine ShipFromAddress,PostalCode,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShipFromAddressPostalCode,,TEXT,String,Post Code or Zip Code
SalesInvoicesInvoiceLine ShipToAddress,AddressType,#N/A,AR,SourceDocuments,SalesInvoicesInvoiceLine ShipToAddressAddressType,,TEXT,String,"Field to differentiate between multiple addresses. To indicate the type of address. Choose from the predefined enumeration. (ex; StreetAddress, PostalAddress, BillingAddress)"
PurchaseInvoicesInvoice,InvoiceDate,invoiceDate,AP,SourceDocuments,PurchaseInvoicesInvoiceInvoiceDate,,DATE,Date,Date of Invoice
PurchaseInvoicesInvoice,InvoiceNo,invoiceNo,AP,SourceDocuments,PurchaseInvoicesInvoiceInvoiceNo,,TEXT,String,Invoice number
PurchaseInvoicesInvoiceLine,LineNumber,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLineLineNumber,,TEXT,String,Number of Invoice line
PurchaseInvoices,NumberOfEntries,#N/A,AP,SourceDocuments,PurchaseInvoicesNumberOfEntries,,TEXT,String,Number of entries
PurchaseInvoicesInvoice,GLPostingDate,glPostingDate,AP,SourceDocuments,PurchaseInvoicesInvoiceGLPostingDate,,DATE,Date,Date posting to GL
PurchaseInvoicesInvoiceLine,Description,description,AP,SourceDocuments,PurchaseInvoicesInvoiceLineDescription,,TEXT,String,Description of Invoice Line item.
PurchaseInvoicesInvoiceDocumentTotals,GrossTotal,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceDocumentTotalsGrossTotal,,NUMERIC,Decimal,Control total amount including tax and shipping costs
PurchaseInvoicesInvoice,InvoiceType,invoiceType,AP,SourceDocuments,PurchaseInvoicesInvoiceInvoiceType,,TEXT,String,"Type of invoice; Debit invoice, Credit invoice, Cash, Ticket, etc"
PurchaseInvoicesInvoiceLine,UnitPrice,unitPrice,AP,SourceDocuments,PurchaseInvoicesInvoiceLineUnitPrice,,NUMERIC,Decimal,Unit price for the unit/group of units per UOM in the headers default currency.
PurchaseInvoicesInvoiceLineOrderReferences,OrderDate,orderDate,AP,SourceDocuments,PurchaseInvoicesInvoiceLineOrderReferencesOrderDate,,DATE,Date,Date of order
PurchaseInvoicesInvoiceLineOrderReferences,OriginatingON,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLineOrderReferencesOriginatingON,,TEXT,String,Origination Order Number
PurchaseInvoicesInvoice,Period,period,AP,SourceDocuments,PurchaseInvoicesInvoicePeriod,,TEXT,String,Accounting Period
PurchaseInvoicesInvoiceLine ShipFromAddress,Building,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShipFromAddressBuilding,,TEXT,String,Building Address detail
PurchaseInvoicesInvoiceLine ShipToAddress,Building,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShipToAddressBuilding,,TEXT,String,Building Address detail
PurchaseInvoicesInvoiceLine ShipFromAddress,City,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShipFromAddressCity,,TEXT,String,City or main Town
PurchaseInvoicesInvoiceLine ShipFromAddress,Number,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShipFromAddressNumber,,TEXT,String,Number of the building
PurchaseInvoicesInvoiceShipFromAddress,PostalCode,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceShipFromAddressPostalCode,,TEXT,String,Post Code or Zip Code
PurchaseInvoicesInvoiceShipToAddress,PostalCode,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceShipToAddressPostalCode,,TEXT,String,Post Code or Zip Code
PurchaseInvoicesInvoiceCustomerInfoBillingAddress,PostalCode,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceCustomerInfoBillingAddressPostalCode,,TEXT,String,Post Code or Zip Code
PurchaseInvoicesInvoiceSupplierInfoBillingAddress,PostalCode,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceSupplierInfoBillingAddressPostalCode,,TEXT,String,Post Code or Zip Code
PurchaseInvoicesInvoiceLineAnalysisAnalysisAmount,CurrencyAmount,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLineAnalysisAnalysisAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
PurchaseInvoicesInvoiceLineTaxInformationTaxAmount,CurrencyAmount,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLineTaxInformationTaxAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
PurchaseInvoicesInvoiceDocumentTotalsTaxInformationTotalsTaxAmount,CurrencyAmount,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceDocumentTotalsTaxInformationTotalsTaxAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
PurchaseInvoicesInvoiceLine InvoiceLineAmount,CurrencyAmount,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine InvoiceLineAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
PurchaseInvoicesInvoiceSettlementSettlementAmount,CurrencyAmount,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceSettlementSettlementAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
PurchaseInvoicesInvoiceLine ShippingCostsAmount,CurrencyAmount,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShippingCostsAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
PurchaseInvoicesInvoiceLineAnalysis,AnalysisID,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLineAnalysisAnalysisID,,TEXT,String,Value of the analysisID; f;I which cost centre applies
PurchaseInvoices,TotalCredit,#N/A,AP,SourceDocuments,PurchaseInvoicesTotalCredit,,NUMERIC,Decimal,The total of all credit amounts in the headers default currency.
PurchaseInvoices,TotalDebit,#N/A,AP,SourceDocuments,PurchaseInvoicesTotalDebit,,NUMERIC,Decimal,The total of all debit amounts in the headers default currency.
PurchaseInvoicesInvoiceLine ShipFromAddress,Country,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShipFromAddressCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
PurchaseInvoicesInvoiceShipFromAddress,Country,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceShipFromAddressCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
PurchaseInvoicesInvoiceShipToAddress,Country,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceShipToAddressCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
PurchaseInvoicesInvoiceCustomerInfoBillingAddress,Country,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceCustomerInfoBillingAddressCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
PurchaseInvoicesInvoiceSupplierInfoBillingAddress,Country,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceSupplierInfoBillingAddressCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
PurchaseInvoicesInvoiceLine ShippingCostsAmount,Amount,amount,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShippingCostsAmountAmount,,NUMERIC,Decimal,In the headers default currency
PurchaseInvoicesInvoiceDocumentTotalsTaxInformationTotalsTaxAmount,Amount,amount,AP,SourceDocuments,PurchaseInvoicesInvoiceDocumentTotalsTaxInformationTotalsTaxAmountAmount,,NUMERIC,Decimal,In the headers default currency
PurchaseInvoicesInvoiceLine InvoiceLineAmount,Amount,amount,AP,SourceDocuments,PurchaseInvoicesInvoiceLine InvoiceLineAmountAmount,,NUMERIC,Decimal,In the headers default currency
PurchaseInvoicesInvoiceLineTaxInformationTaxAmount,Amount,amount,AP,SourceDocuments,PurchaseInvoicesInvoiceLineTaxInformationTaxAmountAmount,,NUMERIC,Decimal,In the headers default currency
PurchaseInvoicesInvoiceSettlementSettlementAmount,Amount,amount,AP,SourceDocuments,PurchaseInvoicesInvoiceSettlementSettlementAmountAmount,,NUMERIC,Decimal,In the headers default currency
PurchaseInvoicesInvoiceLineAnalysisAnalysisAmount,Amount,amount,AP,SourceDocuments,PurchaseInvoicesInvoiceLineAnalysisAnalysisAmountAmount,,NUMERIC,Decimal,In the headers default currency.
SalesInvoicesInvoiceLine ShipToAddress,Building,#N/A,AR,SourceDocuments,SalesInvoicesInvoiceLine ShipToAddressBuilding,,TEXT,String,Building Address detail
PurchaseInvoicesInvoiceLine,TaxPointDate,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLineTaxPointDate,,DATE,Date,Tax Point date where recorded on invoice or if not recorded then use the invoice date.
PurchaseInvoicesInvoiceLine ,DebitCreditIndicator,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine DebitCreditIndicator,,TEXT,String,Indicates whether the amounts on line-level are debit or credit amounts. Entry must correspond to entry reflected in General Ledger Entry. Signing of lineamounts is relative to this indicator. E.g a return can lead to a negative amount.
PurchaseInvoicesInvoiceLine ShipFrom,DeliveryDate,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShipFromDeliveryDate,,DATE,Date,Date goods are delivered
PurchaseInvoicesInvoiceLine ShipToAddress,City,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShipToAddressCity,,TEXT,String,City or main Town
PurchaseInvoicesInvoiceShipFrom,DeliveryDate,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceShipFromDeliveryDate,,DATE,Date,Date goods are delivered
PurchaseInvoicesInvoiceShipTo,DeliveryDate,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceShipToDeliveryDate,,DATE,Date,Date goods are delivered
PurchaseInvoicesInvoiceLine Delivery,DeliveryDate ,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine DeliveryDeliveryDate ,,DATE,Date,Date goods are delivered
PurchaseInvoicesInvoiceLine ShipFrom,DeliveryID,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShipFromDeliveryID,,TEXT,String,Identification of the delivery
SalesInvoicesInvoiceLine ShipToAddress,City,#N/A,AR,SourceDocuments,SalesInvoicesInvoiceLine ShipToAddressCity,,TEXT,String,City or main Town
PurchaseInvoicesInvoiceShipFrom,DeliveryID,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceShipFromDeliveryID,,TEXT,String,Identification of the delivery
PurchaseInvoicesInvoiceShipTo,DeliveryID,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceShipToDeliveryID,,TEXT,String,Identification of the delivery
PurchaseInvoicesInvoiceLineTaxInformation,TaxExemptionReason,taxExemptionReason,AP,SourceDocuments,PurchaseInvoicesInvoiceLineTaxInformationTaxExemptionReason,,TEXT,String,Tax exemption or reduction reason or rationale 
PurchaseInvoicesInvoiceLineAnalysisAnalysisAmount,ExchangeRate,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLineAnalysisAnalysisAmountExchangeRate,,NUMERIC,Decimal,The exchage rate used. Currency amount x ExchangeRate = amount.
PurchaseInvoicesInvoiceLineTaxInformationTaxAmount,ExchangeRate,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLineTaxInformationTaxAmountExchangeRate,,NUMERIC,Decimal,The exchange rate used. CurrencyAmount x EchangeRate = Amount
PurchaseInvoicesInvoiceDocumentTotalsTaxInformationTotalsTaxAmount,ExchangeRate,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceDocumentTotalsTaxInformationTotalsTaxAmountExchangeRate,,NUMERIC,Decimal,The exchange rate used. CurrencyAmount x EchangeRate = Amount
PurchaseInvoicesInvoiceLine InvoiceLineAmount,ExchangeRate,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine InvoiceLineAmountExchangeRate,,NUMERIC,Decimal,The exchange rate used. CurrencyAmount x EchangeRate = Amount
PurchaseInvoicesInvoiceSettlementSettlementAmount,ExchangeRate,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceSettlementSettlementAmountExchangeRate,,NUMERIC,Decimal,The exchange rate used. CurrencyAmount x EchangeRate = Amount
PurchaseInvoicesInvoiceLine ShippingCostsAmount,ExchangeRate,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShippingCostsAmountExchangeRate,,NUMERIC,Decimal,The exchange rate used. CurrencyAmount x EchangeRate = Amount
PurchaseInvoicesInvoiceLine,AccountID,accountId,AP,SourceDocuments,PurchaseInvoicesInvoiceLineAccountID,,TEXT,String,"General Ledger Account code of the GL-revenue-account. Can be including sub account id. It can contain many different levels to identify the account. It could contain cost centres such as company, division, region, group and branch/department."
PurchaseInvoicesInvoiceLineAnalysisAnalysisAmount,CurrencyCode,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLineAnalysisAnalysisAmountCurrencyCode,,TEXT,String,Three letter Currency Code according to (ISO 4217) standard. Example EUR for Euro's or USD for American Dollar.
PurchaseInvoicesInvoiceLineTaxInformationTaxAmount,CurrencyCode,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLineTaxInformationTaxAmountCurrencyCode,,TEXT,String,Three-letter currency code according to ISO 4217 standard. Example EUR for Euros or  USD for American Dollar
PurchaseInvoicesInvoiceDocumentTotalsTaxInformationTotalsTaxAmount,CurrencyCode,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceDocumentTotalsTaxInformationTotalsTaxAmountCurrencyCode,,TEXT,String,Three-letter currency code according to ISO 4217 standard. Example EUR for Euros or  USD for American Dollar
PurchaseInvoicesInvoiceLine InvoiceLineAmount,CurrencyCode,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine InvoiceLineAmountCurrencyCode,,TEXT,String,Three-letter currency code according to ISO 4217 standard. Example EUR for Euros or  USD for American Dollar
PurchaseInvoicesInvoiceSettlementSettlementAmount,CurrencyCode,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceSettlementSettlementAmountCurrencyCode,,TEXT,String,Three-letter currency code according to ISO 4217 standard. Example EUR for Euros or  USD for American Dollar
PurchaseInvoicesInvoiceLine ShippingCostsAmount,CurrencyCode,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShippingCostsAmountCurrencyCode,,TEXT,String,Three-letter currency code according to ISO 4217 standard. Example EUR for Euros or  USD for American Dollar
PurchaseInvoicesInvoiceShipFromAddress,Region,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceShipFromAddressRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
PurchaseInvoicesInvoiceShipToAddress,Region,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceShipToAddressRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
PurchaseInvoicesInvoiceCustomerInfoBillingAddress,Region,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceCustomerInfoBillingAddressRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
PurchaseInvoicesInvoiceSupplierInfoBillingAddress,Region,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceSupplierInfoBillingAddressRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
PurchaseInvoicesInvoiceLine ShipFromAddress,Region,#N/A,AP,SourceDocuments,PurchaseInvoicesInvoiceLine ShipFromAddressRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
